y	x	clickSelects	showSelected1	group
25.2	2000.91530054645	1-1	1-1	1
24.7	1995	1-10	1-10	2
25.6	1995.08493150685	1-10	1-10	2
24.3	1995.16164383562	1-10	1-10	2
25.2	1995.24657534247	1-10	1-10	2
26.1	1995.32876712329	1-10	1-10	2
24.7	1995.41369863014	1-10	1-10	2
23.4	1995.49589041096	1-10	1-10	2
21	1995.58082191781	1-10	1-10	2
22.4	1995.66575342466	1-10	1-10	2
21.9	1995.74794520548	1-10	1-10	2
21.5	1995.83287671233	1-10	1-10	2
21.9	1995.91506849315	1-10	1-10	2
21.9	1996	1-10	1-10	2
24.7	1996.08469945355	1-10	1-10	2
26.1	1996.16393442623	1-10	1-10	2
26.1	1996.24863387978	1-10	1-10	2
24.7	1996.3306010929	1-10	1-10	2
24.3	1996.41530054645	1-10	1-10	2
23.8	1996.49726775956	1-10	1-10	2
22.4	1996.58196721311	1-10	1-10	2
22.9	1996.66666666667	1-10	1-10	2
22.4	1996.74863387978	1-10	1-10	2
22.4	1996.83333333333	1-10	1-10	2
21.5	1996.91530054645	1-10	1-10	2
22.9	1997	1-10	1-10	2
24.3	1997.08493150685	1-10	1-10	2
27	1997.16164383562	1-10	1-10	2
27.4	1997.24657534247	1-10	1-10	2
25.6	1997.32876712329	1-10	1-10	2
27	1997.41369863014	1-10	1-10	2
26.5	1997.49589041096	1-10	1-10	2
27.4	1997.58082191781	1-10	1-10	2
25.6	1997.66575342466	1-10	1-10	2
27.4	1997.74794520548	1-10	1-10	2
28.3	1997.83287671233	1-10	1-10	2
28.3	1997.91506849315	1-10	1-10	2
28.3	1998	1-10	1-10	2
28.3	1998.08493150685	1-10	1-10	2
28.8	1998.16164383562	1-10	1-10	2
28.8	1998.24657534247	1-10	1-10	2
27	1998.32876712329	1-10	1-10	2
24.7	1998.41369863014	1-10	1-10	2
23.8	1998.49589041096	1-10	1-10	2
22.4	1998.58082191781	1-10	1-10	2
21.5	1998.66575342466	1-10	1-10	2
21	1998.74794520548	1-10	1-10	2
21.9	1998.83287671233	1-10	1-10	2
21	1998.91506849315	1-10	1-10	2
21.9	1999	1-10	1-10	2
24.3	1999.08493150685	1-10	1-10	2
24.7	1999.16164383562	1-10	1-10	2
24.7	1999.24657534247	1-10	1-10	2
24.3	1999.32876712329	1-10	1-10	2
23.8	1999.41369863014	1-10	1-10	2
22.9	1999.49589041096	1-10	1-10	2
22.9	1999.58082191781	1-10	1-10	2
21	1999.66575342466	1-10	1-10	2
21.9	1999.74794520548	1-10	1-10	2
20.5	1999.83287671233	1-10	1-10	2
21	1999.91506849315	1-10	1-10	2
21.5	2000	1-10	1-10	2
23.8	2000.08469945355	1-10	1-10	2
25.2	2000.16393442623	1-10	1-10	2
25.6	2000.24863387978	1-10	1-10	2
24.3	2000.3306010929	1-10	1-10	2
23.4	2000.41530054645	1-10	1-10	2
22.4	2000.49726775956	1-10	1-10	2
21.9	2000.58196721312	1-10	1-10	2
21.9	2000.66666666667	1-10	1-10	2
22.4	2000.74863387978	1-10	1-10	2
22.4	2000.83333333333	1-10	1-10	2
21.9	2000.91530054645	1-10	1-10	2
25.6	1995	1-11	1-11	3
26.1	1995.08493150685	1-11	1-11	3
25.6	1995.16164383562	1-11	1-11	3
26.1	1995.24657534247	1-11	1-11	3
27.4	1995.32876712329	1-11	1-11	3
26.1	1995.41369863014	1-11	1-11	3
23.8	1995.49589041096	1-11	1-11	3
21.9	1995.58082191781	1-11	1-11	3
23.8	1995.66575342466	1-11	1-11	3
22.4	1995.74794520548	1-11	1-11	3
23.8	1995.83287671233	1-11	1-11	3
22.4	1995.91506849315	1-11	1-11	3
23.4	1996	1-11	1-11	3
25.6	1996.08469945355	1-11	1-11	3
27.4	1996.16393442623	1-11	1-11	3
28.3	1996.24863387978	1-11	1-11	3
27	1996.3306010929	1-11	1-11	3
26.5	1996.41530054645	1-11	1-11	3
24.7	1996.49726775956	1-11	1-11	3
23.8	1996.58196721311	1-11	1-11	3
24.3	1996.66666666667	1-11	1-11	3
24.3	1996.74863387978	1-11	1-11	3
22.9	1996.83333333333	1-11	1-11	3
22.4	1996.91530054645	1-11	1-11	3
23.8	1997	1-11	1-11	3
24.3	1997.08493150685	1-11	1-11	3
27.9	1997.16164383562	1-11	1-11	3
29.2	1997.24657534247	1-11	1-11	3
26.5	1997.32876712329	1-11	1-11	3
27	1997.41369863014	1-11	1-11	3
27	1997.49589041096	1-11	1-11	3
27.4	1997.58082191781	1-11	1-11	3
27.4	1997.66575342466	1-11	1-11	3
27.9	1997.74794520548	1-11	1-11	3
29.2	1997.83287671233	1-11	1-11	3
27.9	1997.91506849315	1-11	1-11	3
27.4	1998	1-11	1-11	3
27.9	1998.08493150685	1-11	1-11	3
27	1998.16164383562	1-11	1-11	3
28.3	1998.24657534247	1-11	1-11	3
29.2	1998.32876712329	1-11	1-11	3
26.5	1998.41369863014	1-11	1-11	3
26.1	1998.49589041096	1-11	1-11	3
25.2	1998.58082191781	1-11	1-11	3
23.4	1998.66575342466	1-11	1-11	3
23.8	1998.74794520548	1-11	1-11	3
23.8	1998.83287671233	1-11	1-11	3
21.9	1998.91506849315	1-11	1-11	3
23.4	1999	1-11	1-11	3
24.7	1999.08493150685	1-11	1-11	3
25.6	1999.16164383562	1-11	1-11	3
26.1	1999.24657534247	1-11	1-11	3
27	1999.32876712329	1-11	1-11	3
25.6	1999.41369863014	1-11	1-11	3
23.8	1999.49589041096	1-11	1-11	3
23.4	1999.58082191781	1-11	1-11	3
22.9	1999.66575342466	1-11	1-11	3
23.4	1999.74794520548	1-11	1-11	3
21.5	1999.83287671233	1-11	1-11	3
21.5	1999.91506849315	1-11	1-11	3
22.4	2000	1-11	1-11	3
24.3	2000.08469945355	1-11	1-11	3
25.6	2000.16393442623	1-11	1-11	3
26.1	2000.24863387978	1-11	1-11	3
26.1	2000.3306010929	1-11	1-11	3
24.3	2000.41530054645	1-11	1-11	3
22.9	2000.49726775956	1-11	1-11	3
22.9	2000.58196721312	1-11	1-11	3
24.3	2000.66666666667	1-11	1-11	3
23.4	2000.74863387978	1-11	1-11	3
23.4	2000.83333333333	1-11	1-11	3
22.9	2000.91530054645	1-11	1-11	3
26.1	1995	1-12	1-12	4
27	1995.08493150685	1-12	1-12	4
26.5	1995.16164383562	1-12	1-12	4
26.5	1995.24657534247	1-12	1-12	4
27.4	1995.32876712329	1-12	1-12	4
26.5	1995.41369863014	1-12	1-12	4
24.7	1995.49589041096	1-12	1-12	4
24.3	1995.58082191781	1-12	1-12	4
24.3	1995.66575342466	1-12	1-12	4
23.4	1995.74794520548	1-12	1-12	4
24.7	1995.83287671233	1-12	1-12	4
23.8	1995.91506849315	1-12	1-12	4
24.7	1996	1-12	1-12	4
26.1	1996.08469945355	1-12	1-12	4
27.4	1996.16393442623	1-12	1-12	4
27.9	1996.24863387978	1-12	1-12	4
27.9	1996.3306010929	1-12	1-12	4
27	1996.41530054645	1-12	1-12	4
25.6	1996.49726775956	1-12	1-12	4
25.6	1996.58196721311	1-12	1-12	4
26.1	1996.66666666667	1-12	1-12	4
26.5	1996.74863387978	1-12	1-12	4
24.7	1996.83333333333	1-12	1-12	4
23.4	1996.91530054645	1-12	1-12	4
24.7	1997	1-12	1-12	4
25.2	1997.08493150685	1-12	1-12	4
27.9	1997.16164383562	1-12	1-12	4
28.3	1997.24657534247	1-12	1-12	4
28.8	1997.32876712329	1-12	1-12	4
27.9	1997.41369863014	1-12	1-12	4
28.3	1997.49589041096	1-12	1-12	4
27.4	1997.58082191781	1-12	1-12	4
27	1997.66575342466	1-12	1-12	4
27.9	1997.74794520548	1-12	1-12	4
30.1	1997.83287671233	1-12	1-12	4
28.3	1997.91506849315	1-12	1-12	4
27	1998	1-12	1-12	4
27.9	1998.08493150685	1-12	1-12	4
27.9	1998.16164383562	1-12	1-12	4
27.9	1998.24657534247	1-12	1-12	4
30.1	1998.32876712329	1-12	1-12	4
27	1998.41369863014	1-12	1-12	4
27	1998.49589041096	1-12	1-12	4
27	1998.58082191781	1-12	1-12	4
23.8	1998.66575342466	1-12	1-12	4
25.6	1998.74794520548	1-12	1-12	4
24.7	1998.83287671233	1-12	1-12	4
23.8	1998.91506849315	1-12	1-12	4
25.2	1999	1-12	1-12	4
25.6	1999.08493150685	1-12	1-12	4
26.1	1999.16164383562	1-12	1-12	4
26.5	1999.24657534247	1-12	1-12	4
26.5	1999.32876712329	1-12	1-12	4
26.5	1999.41369863014	1-12	1-12	4
24.3	1999.49589041096	1-12	1-12	4
23.8	1999.58082191781	1-12	1-12	4
23.8	1999.66575342466	1-12	1-12	4
24.3	1999.74794520548	1-12	1-12	4
23.4	1999.83287671233	1-12	1-12	4
22.9	1999.91506849315	1-12	1-12	4
23.8	2000	1-12	1-12	4
25.2	2000.08469945355	1-12	1-12	4
25.6	2000.16393442623	1-12	1-12	4
25.2	2000.24863387978	1-12	1-12	4
27.4	2000.3306010929	1-12	1-12	4
25.2	2000.41530054645	1-12	1-12	4
23.4	2000.49726775956	1-12	1-12	4
23.8	2000.58196721312	1-12	1-12	4
25.2	2000.66666666667	1-12	1-12	4
23.8	2000.74863387978	1-12	1-12	4
24.7	2000.83333333333	1-12	1-12	4
24.7	2000.91530054645	1-12	1-12	4
27.9	1995	1-13	1-13	5
27.4	1995.08493150685	1-13	1-13	5
27.4	1995.16164383562	1-13	1-13	5
27	1995.24657534247	1-13	1-13	5
27.9	1995.32876712329	1-13	1-13	5
25.6	1995.41369863014	1-13	1-13	5
26.5	1995.49589041096	1-13	1-13	5
26.1	1995.58082191781	1-13	1-13	5
26.5	1995.66575342466	1-13	1-13	5
22.9	1995.74794520548	1-13	1-13	5
25.6	1995.83287671233	1-13	1-13	5
27.4	1995.91506849315	1-13	1-13	5
25.6	1996	1-13	1-13	5
26.5	1996.08469945355	1-13	1-13	5
27	1996.16393442623	1-13	1-13	5
27.9	1996.24863387978	1-13	1-13	5
27.9	1996.3306010929	1-13	1-13	5
28.8	1996.41530054645	1-13	1-13	5
26.5	1996.49726775956	1-13	1-13	5
26.5	1996.58196721311	1-13	1-13	5
26.5	1996.66666666667	1-13	1-13	5
26.5	1996.74863387978	1-13	1-13	5
27	1996.83333333333	1-13	1-13	5
25.6	1996.91530054645	1-13	1-13	5
24.7	1997	1-13	1-13	5
25.6	1997.08493150685	1-13	1-13	5
27	1997.16164383562	1-13	1-13	5
29.2	1997.24657534247	1-13	1-13	5
29.2	1997.32876712329	1-13	1-13	5
28.3	1997.41369863014	1-13	1-13	5
28.8	1997.49589041096	1-13	1-13	5
29.2	1997.58082191781	1-13	1-13	5
27	1997.66575342466	1-13	1-13	5
29.2	1997.74794520548	1-13	1-13	5
30.5	1997.83287671233	1-13	1-13	5
29.7	1997.91506849315	1-13	1-13	5
28.3	1998	1-13	1-13	5
27.4	1998.08493150685	1-13	1-13	5
27.9	1998.16164383562	1-13	1-13	5
28.8	1998.24657534247	1-13	1-13	5
29.2	1998.32876712329	1-13	1-13	5
28.3	1998.41369863014	1-13	1-13	5
27.4	1998.49589041096	1-13	1-13	5
27	1998.58082191781	1-13	1-13	5
26.1	1998.66575342466	1-13	1-13	5
25.2	1998.74794520548	1-13	1-13	5
24.3	1998.83287671233	1-13	1-13	5
25.6	1998.91506849315	1-13	1-13	5
26.1	1999	1-13	1-13	5
25.6	1999.08493150685	1-13	1-13	5
26.1	1999.16164383562	1-13	1-13	5
26.5	1999.24657534247	1-13	1-13	5
26.5	1999.32876712329	1-13	1-13	5
27	1999.41369863014	1-13	1-13	5
22.9	1999.49589041096	1-13	1-13	5
23.4	1999.58082191781	1-13	1-13	5
25.6	1999.66575342466	1-13	1-13	5
25.6	1999.74794520548	1-13	1-13	5
24.7	1999.83287671233	1-13	1-13	5
25.2	1999.91506849315	1-13	1-13	5
24.7	2000	1-13	1-13	5
25.2	2000.08469945355	1-13	1-13	5
25.6	2000.16393442623	1-13	1-13	5
26.1	2000.24863387978	1-13	1-13	5
25.6	2000.3306010929	1-13	1-13	5
24.3	2000.41530054645	1-13	1-13	5
23.8	2000.49726775956	1-13	1-13	5
22.9	2000.58196721312	1-13	1-13	5
25.2	2000.66666666667	1-13	1-13	5
24.7	2000.74863387978	1-13	1-13	5
24.7	2000.83333333333	1-13	1-13	5
25.6	2000.91530054645	1-13	1-13	5
27.9	1995	1-14	1-14	6
27.9	1995.08493150685	1-14	1-14	6
27.4	1995.16164383562	1-14	1-14	6
28.3	1995.24657534247	1-14	1-14	6
28.3	1995.32876712329	1-14	1-14	6
27	1995.41369863014	1-14	1-14	6
27	1995.49589041096	1-14	1-14	6
27	1995.58082191781	1-14	1-14	6
24.7	1995.66575342466	1-14	1-14	6
26.1	1995.74794520548	1-14	1-14	6
27.9	1995.83287671233	1-14	1-14	6
28.3	1995.91506849315	1-14	1-14	6
25.6	1996	1-14	1-14	6
26.1	1996.08469945355	1-14	1-14	6
26.5	1996.16393442623	1-14	1-14	6
28.3	1996.24863387978	1-14	1-14	6
28.3	1996.3306010929	1-14	1-14	6
28.8	1996.41530054645	1-14	1-14	6
27	1996.49726775956	1-14	1-14	6
28.3	1996.58196721311	1-14	1-14	6
26.1	1996.66666666667	1-14	1-14	6
27.9	1996.74863387978	1-14	1-14	6
27.9	1996.83333333333	1-14	1-14	6
27	1996.91530054645	1-14	1-14	6
25.2	1997	1-14	1-14	6
25.2	1997.08493150685	1-14	1-14	6
27	1997.16164383562	1-14	1-14	6
29.2	1997.24657534247	1-14	1-14	6
29.2	1997.32876712329	1-14	1-14	6
28.3	1997.41369863014	1-14	1-14	6
28.8	1997.49589041096	1-14	1-14	6
28.3	1997.58082191781	1-14	1-14	6
27.9	1997.66575342466	1-14	1-14	6
29.2	1997.74794520548	1-14	1-14	6
30.1	1997.83287671233	1-14	1-14	6
27.9	1997.91506849315	1-14	1-14	6
27.9	1998	1-14	1-14	6
27	1998.08493150685	1-14	1-14	6
27.9	1998.16164383562	1-14	1-14	6
27.4	1998.24657534247	1-14	1-14	6
28.3	1998.32876712329	1-14	1-14	6
28.8	1998.41369863014	1-14	1-14	6
27.4	1998.49589041096	1-14	1-14	6
27.4	1998.58082191781	1-14	1-14	6
27.9	1998.66575342466	1-14	1-14	6
26.5	1998.74794520548	1-14	1-14	6
25.6	1998.83287671233	1-14	1-14	6
25.2	1998.91506849315	1-14	1-14	6
27	1999	1-14	1-14	6
25.6	1999.08493150685	1-14	1-14	6
25.6	1999.16164383562	1-14	1-14	6
26.5	1999.24657534247	1-14	1-14	6
26.1	1999.32876712329	1-14	1-14	6
26.5	1999.41369863014	1-14	1-14	6
25.6	1999.49589041096	1-14	1-14	6
24.3	1999.58082191781	1-14	1-14	6
24.3	1999.66575342466	1-14	1-14	6
25.2	1999.74794520548	1-14	1-14	6
25.2	1999.83287671233	1-14	1-14	6
24.3	1999.91506849315	1-14	1-14	6
24.7	2000	1-14	1-14	6
25.2	2000.08469945355	1-14	1-14	6
25.2	2000.16393442623	1-14	1-14	6
25.6	2000.24863387978	1-14	1-14	6
26.5	2000.3306010929	1-14	1-14	6
26.1	2000.41530054645	1-14	1-14	6
24.7	2000.49726775956	1-14	1-14	6
24.7	2000.58196721312	1-14	1-14	6
25.6	2000.66666666667	1-14	1-14	6
25.2	2000.74863387978	1-14	1-14	6
25.6	2000.83333333333	1-14	1-14	6
26.1	2000.91530054645	1-14	1-14	6
27	1995	1-15	1-15	7
27.4	1995.08493150685	1-15	1-15	7
26.5	1995.16164383562	1-15	1-15	7
27.4	1995.24657534247	1-15	1-15	7
27.9	1995.32876712329	1-15	1-15	7
27	1995.41369863014	1-15	1-15	7
27	1995.49589041096	1-15	1-15	7
26.5	1995.58082191781	1-15	1-15	7
27.4	1995.66575342466	1-15	1-15	7
27.9	1995.74794520548	1-15	1-15	7
28.8	1995.83287671233	1-15	1-15	7
27.4	1995.91506849315	1-15	1-15	7
25.2	1996	1-15	1-15	7
24.7	1996.08469945355	1-15	1-15	7
26.1	1996.16393442623	1-15	1-15	7
26.1	1996.24863387978	1-15	1-15	7
27.4	1996.3306010929	1-15	1-15	7
29.7	1996.41530054645	1-15	1-15	7
28.3	1996.49726775956	1-15	1-15	7
28.3	1996.58196721311	1-15	1-15	7
28.3	1996.66666666667	1-15	1-15	7
27.4	1996.74863387978	1-15	1-15	7
27.9	1996.83333333333	1-15	1-15	7
27	1996.91530054645	1-15	1-15	7
25.6	1997	1-15	1-15	7
24.7	1997.08493150685	1-15	1-15	7
27.4	1997.16164383562	1-15	1-15	7
27	1997.24657534247	1-15	1-15	7
27.4	1997.32876712329	1-15	1-15	7
28.8	1997.41369863014	1-15	1-15	7
28.3	1997.49589041096	1-15	1-15	7
27.4	1997.58082191781	1-15	1-15	7
28.3	1997.66575342466	1-15	1-15	7
28.3	1997.74794520548	1-15	1-15	7
28.3	1997.83287671233	1-15	1-15	7
27	1997.91506849315	1-15	1-15	7
26.1	1998	1-15	1-15	7
25.6	1998.08493150685	1-15	1-15	7
26.5	1998.16164383562	1-15	1-15	7
25.6	1998.24657534247	1-15	1-15	7
26.1	1998.32876712329	1-15	1-15	7
27.4	1998.41369863014	1-15	1-15	7
27	1998.49589041096	1-15	1-15	7
28.3	1998.58082191781	1-15	1-15	7
27.4	1998.66575342466	1-15	1-15	7
26.1	1998.74794520548	1-15	1-15	7
26.1	1998.83287671233	1-15	1-15	7
25.6	1998.91506849315	1-15	1-15	7
25.6	1999	1-15	1-15	7
24.7	1999.08493150685	1-15	1-15	7
24.3	1999.16164383562	1-15	1-15	7
25.2	1999.24657534247	1-15	1-15	7
26.1	1999.32876712329	1-15	1-15	7
27	1999.41369863014	1-15	1-15	7
26.5	1999.49589041096	1-15	1-15	7
26.5	1999.58082191781	1-15	1-15	7
25.6	1999.66575342466	1-15	1-15	7
26.5	1999.74794520548	1-15	1-15	7
25.2	1999.83287671233	1-15	1-15	7
24.3	1999.91506849315	1-15	1-15	7
24.3	2000	1-15	1-15	7
24.3	2000.08469945355	1-15	1-15	7
24.3	2000.16393442623	1-15	1-15	7
25.2	2000.24863387978	1-15	1-15	7
25.2	2000.3306010929	1-15	1-15	7
25.6	2000.41530054645	1-15	1-15	7
26.1	2000.49726775956	1-15	1-15	7
25.6	2000.58196721312	1-15	1-15	7
25.6	2000.66666666667	1-15	1-15	7
26.5	2000.74863387978	1-15	1-15	7
26.1	2000.83333333333	1-15	1-15	7
25.2	2000.91530054645	1-15	1-15	7
27	1995	1-16	1-16	8
26.5	1995.08493150685	1-16	1-16	8
25.2	1995.16164383562	1-16	1-16	8
26.5	1995.24657534247	1-16	1-16	8
27.9	1995.32876712329	1-16	1-16	8
26.1	1995.41369863014	1-16	1-16	8
27	1995.49589041096	1-16	1-16	8
26.5	1995.58082191781	1-16	1-16	8
28.3	1995.66575342466	1-16	1-16	8
26.5	1995.74794520548	1-16	1-16	8
28.3	1995.83287671233	1-16	1-16	8
27.4	1995.91506849315	1-16	1-16	8
24.7	1996	1-16	1-16	8
24.7	1996.08469945355	1-16	1-16	8
24.7	1996.16393442623	1-16	1-16	8
25.2	1996.24863387978	1-16	1-16	8
26.1	1996.3306010929	1-16	1-16	8
28.8	1996.41530054645	1-16	1-16	8
27.9	1996.49726775956	1-16	1-16	8
28.3	1996.58196721311	1-16	1-16	8
27.9	1996.66666666667	1-16	1-16	8
27.9	1996.74863387978	1-16	1-16	8
27	1996.83333333333	1-16	1-16	8
26.1	1996.91530054645	1-16	1-16	8
24.3	1997	1-16	1-16	8
23.8	1997.08493150685	1-16	1-16	8
26.1	1997.16164383562	1-16	1-16	8
25.6	1997.24657534247	1-16	1-16	8
26.1	1997.32876712329	1-16	1-16	8
27.4	1997.41369863014	1-16	1-16	8
28.3	1997.49589041096	1-16	1-16	8
28.8	1997.58082191781	1-16	1-16	8
29.7	1997.66575342466	1-16	1-16	8
27.4	1997.74794520548	1-16	1-16	8
27.4	1997.83287671233	1-16	1-16	8
26.5	1997.91506849315	1-16	1-16	8
26.1	1998	1-16	1-16	8
25.2	1998.08493150685	1-16	1-16	8
26.1	1998.16164383562	1-16	1-16	8
24.7	1998.24657534247	1-16	1-16	8
24.7	1998.32876712329	1-16	1-16	8
25.2	1998.41369863014	1-16	1-16	8
26.5	1998.49589041096	1-16	1-16	8
27.4	1998.58082191781	1-16	1-16	8
26.1	1998.66575342466	1-16	1-16	8
25.2	1998.74794520548	1-16	1-16	8
25.6	1998.83287671233	1-16	1-16	8
25.2	1998.91506849315	1-16	1-16	8
24.7	1999	1-16	1-16	8
23.8	1999.08493150685	1-16	1-16	8
23.8	1999.16164383562	1-16	1-16	8
24.7	1999.24657534247	1-16	1-16	8
24.7	1999.32876712329	1-16	1-16	8
27.4	1999.41369863014	1-16	1-16	8
26.5	1999.49589041096	1-16	1-16	8
26.1	1999.58082191781	1-16	1-16	8
25.2	1999.66575342466	1-16	1-16	8
26.5	1999.74794520548	1-16	1-16	8
26.1	1999.83287671233	1-16	1-16	8
24.3	1999.91506849315	1-16	1-16	8
24.3	2000	1-16	1-16	8
23.4	2000.08469945355	1-16	1-16	8
22.9	2000.16393442623	1-16	1-16	8
23.4	2000.24863387978	1-16	1-16	8
25.2	2000.3306010929	1-16	1-16	8
25.6	2000.41530054645	1-16	1-16	8
26.5	2000.49726775956	1-16	1-16	8
25.6	2000.58196721312	1-16	1-16	8
24.7	2000.66666666667	1-16	1-16	8
25.6	2000.74863387978	1-16	1-16	8
24.3	2000.83333333333	1-16	1-16	8
24.7	2000.91530054645	1-16	1-16	8
25.2	1995	1-17	1-17	9
25.6	1995.08493150685	1-17	1-17	9
24.3	1995.16164383562	1-17	1-17	9
24.7	1995.24657534247	1-17	1-17	9
25.2	1995.32876712329	1-17	1-17	9
25.6	1995.41369863014	1-17	1-17	9
27	1995.49589041096	1-17	1-17	9
27.4	1995.58082191781	1-17	1-17	9
27	1995.66575342466	1-17	1-17	9
26.1	1995.74794520548	1-17	1-17	9
28.8	1995.83287671233	1-17	1-17	9
26.1	1995.91506849315	1-17	1-17	9
24.3	1996	1-17	1-17	9
23.8	1996.08469945355	1-17	1-17	9
24.3	1996.16393442623	1-17	1-17	9
24.7	1996.24863387978	1-17	1-17	9
25.6	1996.3306010929	1-17	1-17	9
26.5	1996.41530054645	1-17	1-17	9
27	1996.49726775956	1-17	1-17	9
27.4	1996.58196721311	1-17	1-17	9
26.5	1996.66666666667	1-17	1-17	9
27	1996.74863387978	1-17	1-17	9
25.2	1996.83333333333	1-17	1-17	9
24.7	1996.91530054645	1-17	1-17	9
22.9	1997	1-17	1-17	9
22.9	1997.08493150685	1-17	1-17	9
24.3	1997.16164383562	1-17	1-17	9
24.7	1997.24657534247	1-17	1-17	9
25.2	1997.32876712329	1-17	1-17	9
26.5	1997.41369863014	1-17	1-17	9
29.2	1997.49589041096	1-17	1-17	9
30.1	1997.58082191781	1-17	1-17	9
28.8	1997.66575342466	1-17	1-17	9
27	1997.74794520548	1-17	1-17	9
26.1	1997.83287671233	1-17	1-17	9
24.7	1997.91506849315	1-17	1-17	9
24.3	1998	1-17	1-17	9
24.7	1998.08493150685	1-17	1-17	9
25.2	1998.16164383562	1-17	1-17	9
24.3	1998.24657534247	1-17	1-17	9
24.3	1998.32876712329	1-17	1-17	9
25.2	1998.41369863014	1-17	1-17	9
26.5	1998.49589041096	1-17	1-17	9
28.8	1998.58082191781	1-17	1-17	9
25.6	1998.66575342466	1-17	1-17	9
25.6	1998.74794520548	1-17	1-17	9
25.2	1998.83287671233	1-17	1-17	9
24.3	1998.91506849315	1-17	1-17	9
23.4	1999	1-17	1-17	9
23.4	1999.08493150685	1-17	1-17	9
22.4	1999.16164383562	1-17	1-17	9
23.8	1999.24657534247	1-17	1-17	9
23.4	1999.32876712329	1-17	1-17	9
24.7	1999.41369863014	1-17	1-17	9
26.5	1999.49589041096	1-17	1-17	9
26.1	1999.58082191781	1-17	1-17	9
23.4	1999.66575342466	1-17	1-17	9
25.2	1999.74794520548	1-17	1-17	9
25.2	1999.83287671233	1-17	1-17	9
23.4	1999.91506849315	1-17	1-17	9
22.9	2000	1-17	1-17	9
22.4	2000.08469945355	1-17	1-17	9
22.4	2000.16393442623	1-17	1-17	9
23.4	2000.24863387978	1-17	1-17	9
23.8	2000.3306010929	1-17	1-17	9
23.4	2000.41530054645	1-17	1-17	9
25.6	2000.49726775956	1-17	1-17	9
27.4	2000.58196721312	1-17	1-17	9
25.2	2000.66666666667	1-17	1-17	9
25.2	2000.74863387978	1-17	1-17	9
24.3	2000.83333333333	1-17	1-17	9
24.3	2000.91530054645	1-17	1-17	9
21.9	1995	1-18	1-18	10
22.9	1995.08493150685	1-18	1-18	10
22.4	1995.16164383562	1-18	1-18	10
22.9	1995.24657534247	1-18	1-18	10
