colour	showSelected1	showSelected3	group
#59D715	15-21	Region	158
#59D715	15-22	Region	159
#59D715	15-23	Region	160
#59D715	15-24	Region	161
#59D715	15-3	Region	162
#59D715	15-4	Region	163
#59D715	15-5	Region	164
#59D715	15-6	Region	165
#59D715	15-7	Region	166
#59D715	15-8	Region	167
#59D715	15-9	Region	168
#59D715	16-1	Region	169
#59D715	16-10	Region	170
#59D715	16-11	Region	171
#59D715	16-12	Region	172
#59D715	16-13	Region	173
#59D715	16-14	Region	174
#59D715	16-15	Region	175
#59D715	16-16	Region	176
#59D715	16-17	Region	177
#59D715	16-18	Region	178
#59D715	16-19	Region	179
#59D715	16-2	Region	180
#59D715	16-20	Region	181
#59D715	16-21	Region	182
#59D715	16-22	Region	183
#59D715	16-23	Region	184
#59D715	16-24	Region	185
#59D715	16-3	Region	186
#59D715	16-4	Region	187
#59D715	16-5	Region	188
#59D715	16-6	Region	189
#59D715	16-7	Region	190
#59D715	16-8	Region	191
#59D715	16-9	Region	192
#59D715	17-1	Region	193
#59D715	17-10	Region	194
#59D715	17-11	Region	195
#59D715	17-12	Region	196
#59D715	17-13	Region	197
#59D715	17-14	Region	198
#59D715	17-15	Region	199
#59D715	17-16	Region	200
#59D715	17-17	Region	201
#59D715	17-18	Region	202
#59D715	17-19	Region	203
#59D715	17-2	Region	204
#59D715	17-20	Region	205
#59D715	17-21	Region	206
#59D715	17-22	Region	207
#59D715	17-23	Region	208
#59D715	17-24	Region	209
#59D715	17-3	Region	210
#59D715	17-4	Region	211
#59D715	17-5	Region	212
#59D715	17-6	Region	213
#59D715	17-7	Region	214
#59D715	17-8	Region	215
#59D715	17-9	Region	216
#59D715	18-1	Region	217
#59D715	18-10	Region	218
#59D715	18-11	Region	219
#59D715	18-12	Region	220
#59D715	18-13	Region	221
#59D715	18-14	Region	222
#59D715	18-15	Region	223
#59D715	18-16	Region	224
#59D715	18-17	Region	225
#59D715	18-18	Region	226
#59D715	18-19	Region	227
#59D715	18-2	Region	228
#59D715	18-20	Region	229
#59D715	18-21	Region	230
#59D715	18-22	Region	231
#59D715	18-23	Region	232
#59D715	18-24	Region	233
#59D715	18-3	Region	234
#59D715	18-4	Region	235
#59D715	18-5	Region	236
#59D715	18-6	Region	237
#59D715	18-7	Region	238
#59D715	18-8	Region	239
#59D715	18-9	Region	240
#59D715	19-1	Region	241
#59D715	19-10	Region	242
#59D715	19-11	Region	243
#59D715	19-12	Region	244
#59D715	19-13	Region	245
#59D715	19-14	Region	246
#59D715	19-15	Region	247
#59D715	19-16	Region	248
#59D715	19-17	Region	249
#59D715	19-18	Region	250
#59D715	19-19	Region	251
#59D715	19-2	Region	252
#59D715	19-20	Region	253
#59D715	19-21	Region	254
#59D715	19-22	Region	255
#59D715	19-23	Region	256
#59D715	19-24	Region	257
#59D715	19-3	Region	258
#59D715	19-4	Region	259
#59D715	19-5	Region	260
#59D715	19-6	Region	261
#59D715	19-7	Region	262
#59D715	19-8	Region	263
#59D715	19-9	Region	264
#59D715	2-1	Region	265
#59D715	2-10	Region	266
#59D715	2-11	Region	267
#59D715	2-12	Region	268
#59D715	2-13	Region	269
#59D715	2-14	Region	270
#59D715	2-15	Region	271
#59D715	2-16	Region	272
#59D715	2-17	Region	273
#59D715	2-18	Region	274
#59D715	2-19	Region	275
#59D715	2-2	Region	276
#59D715	2-20	Region	277
#59D715	2-21	Region	278
#59D715	2-22	Region	279
#59D715	2-23	Region	280
#59D715	2-24	Region	281
#59D715	2-3	Region	282
#59D715	2-4	Region	283
#59D715	2-5	Region	284
#59D715	2-6	Region	285
#59D715	2-7	Region	286
#59D715	2-8	Region	287
#59D715	2-9	Region	288
#59D715	20-1	Region	289
#59D715	20-10	Region	290
#59D715	20-11	Region	291
#59D715	20-12	Region	292
#59D715	20-13	Region	293
#59D715	20-14	Region	294
#59D715	20-15	Region	295
#59D715	20-16	Region	296
#59D715	20-17	Region	297
#59D715	20-18	Region	298
#59D715	20-19	Region	299
#59D715	20-2	Region	300
#59D715	20-20	Region	301
#59D715	20-21	Region	302
#59D715	20-22	Region	303
#59D715	20-23	Region	304
#59D715	20-24	Region	305
#59D715	20-3	Region	306
#59D715	20-4	Region	307
#59D715	20-5	Region	308
#59D715	20-6	Region	309
#59D715	20-7	Region	310
#59D715	20-8	Region	311
#59D715	20-9	Region	312
#59D715	21-1	Region	313
#59D715	21-10	Region	314
#59D715	21-11	Region	315
#59D715	21-12	Region	316
#59D715	21-13	Region	317
#59D715	21-14	Region	318
#59D715	21-15	Region	319
#59D715	21-16	Region	320
#59D715	21-17	Region	321
#59D715	21-18	Region	322
#59D715	21-19	Region	323
#59D715	21-2	Region	324
#59D715	21-20	Region	325
#59D715	21-21	Region	326
#59D715	21-22	Region	327
#59D715	21-23	Region	328
#59D715	21-24	Region	329
#59D715	21-3	Region	330
#59D715	21-4	Region	331
#59D715	21-5	Region	332
#59D715	21-6	Region	333
#59D715	21-7	Region	334
#59D715	21-8	Region	335
#59D715	21-9	Region	336
#59D715	22-1	Region	337
#59D715	22-10	Region	338
#59D715	22-11	Region	339
#59D715	22-12	Region	340
#59D715	22-13	Region	341
#59D715	22-14	Region	342
#59D715	22-15	Region	343
#59D715	22-16	Region	344
#59D715	22-17	Region	345
#59D715	22-18	Region	346
#59D715	22-19	Region	347
#59D715	22-2	Region	348
#59D715	22-20	Region	349
#59D715	22-21	Region	350
#59D715	22-22	Region	351
#59D715	22-23	Region	352
#59D715	22-24	Region	353
#59D715	22-3	Region	354
#59D715	22-4	Region	355
#59D715	22-5	Region	356
#59D715	22-6	Region	357
#59D715	22-7	Region	358
#59D715	22-8	Region	359
#59D715	22-9	Region	360
#59D715	23-1	Region	361
#59D715	23-10	Region	362
#59D715	23-11	Region	363
#59D715	23-12	Region	364
#59D715	23-13	Region	365
#59D715	23-14	Region	366
#59D715	23-15	Region	367
#59D715	23-16	Region	368
#59D715	23-17	Region	369
#59D715	23-18	Region	370
#59D715	23-19	Region	371
#59D715	23-2	Region	372
#59D715	23-20	Region	373
#59D715	23-21	Region	374
#59D715	23-22	Region	375
#59D715	23-23	Region	376
#59D715	23-24	Region	377
#59D715	23-3	Region	378
#59D715	23-4	Region	379
#59D715	23-5	Region	380
#59D715	23-6	Region	381
#59D715	23-7	Region	382
#59D715	23-8	Region	383
#59D715	23-9	Region	384
#59D715	24-1	Region	385
#59D715	24-10	Region	386
#59D715	24-11	Region	387
#59D715	24-12	Region	388
#59D715	24-13	Region	389
#59D715	24-14	Region	390
#59D715	24-15	Region	391
#59D715	24-16	Region	392
#59D715	24-17	Region	393
#59D715	24-18	Region	394
#59D715	24-19	Region	395
#59D715	24-2	Region	396
#59D715	24-20	Region	397
#59D715	24-21	Region	398
#59D715	24-22	Region	399
#59D715	24-23	Region	400
#59D715	24-24	Region	401
#59D715	24-3	Region	402
#59D715	24-4	Region	403
#59D715	24-5	Region	404
#59D715	24-6	Region	405
#59D715	24-7	Region	406
#59D715	24-8	Region	407
#59D715	24-9	Region	408
#59D715	3-1	Region	409
#59D715	3-10	Region	410
#59D715	3-11	Region	411
#59D715	3-12	Region	412
#59D715	3-13	Region	413
#59D715	3-14	Region	414
#59D715	3-15	Region	415
#59D715	3-16	Region	416
#59D715	3-17	Region	417
#59D715	3-18	Region	418
#59D715	3-19	Region	419
#59D715	3-2	Region	420
#59D715	3-20	Region	421
#59D715	3-21	Region	422
#59D715	3-22	Region	423
#59D715	3-23	Region	424
#59D715	3-24	Region	425
#59D715	3-3	Region	426
#59D715	3-4	Region	427
#59D715	3-5	Region	428
#59D715	3-6	Region	429
#59D715	3-7	Region	430
#59D715	3-8	Region	431
#59D715	3-9	Region	432
#59D715	4-1	Region	433
#59D715	4-10	Region	434
#59D715	4-11	Region	435
#59D715	4-12	Region	436
#59D715	4-13	Region	437
#59D715	4-14	Region	438
#59D715	4-15	Region	439
#59D715	4-16	Region	440
#59D715	4-17	Region	441
#59D715	4-18	Region	442
#59D715	4-19	Region	443
#59D715	4-2	Region	444
#59D715	4-20	Region	445
#59D715	4-21	Region	446
#59D715	4-22	Region	447
#59D715	4-23	Region	448
#59D715	4-24	Region	449
#59D715	4-3	Region	450
#59D715	4-4	Region	451
#59D715	4-5	Region	452
#59D715	4-6	Region	453
#59D715	4-7	Region	454
#59D715	4-8	Region	455
#59D715	4-9	Region	456
#59D715	5-1	Region	457
#59D715	5-10	Region	458
#59D715	5-11	Region	459
#59D715	5-12	Region	460
#59D715	5-13	Region	461
#59D715	5-14	Region	462
#59D715	5-15	Region	463
#59D715	5-16	Region	464
#59D715	5-17	Region	465
#59D715	5-18	Region	466
#59D715	5-19	Region	467
#59D715	5-2	Region	468
#59D715	5-20	Region	469
#59D715	5-21	Region	470
#59D715	5-22	Region	471
#59D715	5-23	Region	472
#59D715	5-24	Region	473
#59D715	5-3	Region	474
#59D715	5-4	Region	475
#59D715	5-5	Region	476
#59D715	5-6	Region	477
#59D715	5-7	Region	478
#59D715	5-8	Region	479
#59D715	5-9	Region	480
#59D715	6-1	Region	481
#59D715	6-10	Region	482
#59D715	6-11	Region	483
#59D715	6-12	Region	484
#59D715	6-13	Region	485
#59D715	6-14	Region	486
#59D715	6-15	Region	487
#59D715	6-16	Region	488
#59D715	6-17	Region	489
#59D715	6-18	Region	490
#59D715	6-19	Region	491
#59D715	6-2	Region	492
#59D715	6-20	Region	493
#59D715	6-21	Region	494
#59D715	6-22	Region	495
#59D715	6-23	Region	496
#59D715	6-24	Region	497
#59D715	6-3	Region	498
#59D715	6-4	Region	499
#59D715	6-5	Region	500
#59D715	6-6	Region	501
#59D715	6-7	Region	502
#59D715	6-8	Region	503
#59D715	6-9	Region	504
#59D715	7-1	Region	505
#59D715	7-10	Region	506
#59D715	7-11	Region	507
#59D715	7-12	Region	508
#59D715	7-13	Region	509
#59D715	7-14	Region	510
#59D715	7-15	Region	511
#59D715	7-16	Region	512
#59D715	7-17	Region	513
#59D715	7-18	Region	514
#59D715	7-19	Region	515
#59D715	7-2	Region	516
#59D715	7-20	Region	517
#59D715	7-21	Region	518
#59D715	7-22	Region	519
#59D715	7-23	Region	520
#59D715	7-24	Region	521
#59D715	7-3	Region	522
#59D715	7-4	Region	523
#59D715	7-5	Region	524
#59D715	7-6	Region	525
#59D715	7-7	Region	526
#59D715	7-8	Region	527
#59D715	7-9	Region	528
#59D715	8-1	Region	529
#59D715	8-10	Region	530
#59D715	8-11	Region	531
#59D715	8-12	Region	532
#59D715	8-13	Region	533
#59D715	8-14	Region	534
#59D715	8-15	Region	535
#59D715	8-16	Region	536
#59D715	8-17	Region	537
#59D715	8-18	Region	538
#59D715	8-19	Region	539
#59D715	8-2	Region	540
#59D715	8-20	Region	541
#59D715	8-21	Region	542
#59D715	8-22	Region	543
#59D715	8-23	Region	544
#59D715	8-24	Region	545
#59D715	8-3	Region	546
#59D715	8-4	Region	547
#59D715	8-5	Region	548
#59D715	8-6	Region	549
#59D715	8-7	Region	550
#59D715	8-8	Region	551
#59D715	8-9	Region	552
#59D715	9-1	Region	553
#59D715	9-10	Region	554
#59D715	9-11	Region	555
#59D715	9-12	Region	556
#59D715	9-13	Region	557
#59D715	9-14	Region	558
#59D715	9-15	Region	559
#59D715	9-16	Region	560
#59D715	9-17	Region	561
#59D715	9-18	Region	562
#59D715	9-19	Region	563
#59D715	9-2	Region	564
#59D715	9-20	Region	565
#59D715	9-21	Region	566
#59D715	9-22	Region	567
#59D715	9-23	Region	568
#59D715	9-24	Region	569
#59D715	9-3	Region	570
#59D715	9-4	Region	571
#59D715	9-5	Region	572
#59D715	9-6	Region	573
#59D715	9-7	Region	574
#59D715	9-8	Region	575
#59D715	9-9	Region	576
